plan_id,run_id,kind,replica,stage_or_suite,world_seed,agent_seed,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-001,evaluation,r1,classic-primary,71001,81001,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,400,400,0,0,9,0,6,2,0,2,400,0.005,True,step_limit,1bcf88c4d566a1aa1190e29e34388e9a2297b4b737c41232770012ae925fb95e,1,195,1,194,5,4,0,0.6479024887084961,0.8662700653076171,1.3556480407714844,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-002,evaluation,r1,classic-primary,71002,81002,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,400,400,0,0,9,0,3,3,0,1,400,0.0025,True,step_limit,614699b271148c23633eb11d5f2f41ffd0f41392124fd1dc7ce3965cbfa108a4,3,4,3,4,383,3,0,0.48100948333740234,0.6532907485961914,1.2118816375732422,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-003,evaluation,r1,classic-primary,71003,81003,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.6272792816162109,0.8745431900024412,1.5921592712402344,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-004,evaluation,r1,classic-primary,71004,81004,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,28,28,0,0,9,0,10,4,1,1,28,0.03571428571428571,False,killed,cb361040eeec59747ce8e6abda1251967060afacc91a8e3485560b50350f0fa1,4,7,4,5,4,4,0,0.5888938903808594,0.9989261627197265,1.3265609741210938,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-005,evaluation,r1,classic-primary,71005,81005,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,400,400,1,1,9,1,3,1,0,1,400,0.0025,True,step_limit,06b36013bb82008f71ff92297c57ca201b2f3f39096b271d09279c721be92600,197,3,197,2,0,1,0,0.5537271499633789,0.7471084594726561,1.2836456298828125,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-006,evaluation,r1,classic-primary,71006,81006,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,31,31,1,1,9,2,9,4,1,3,31,0.0967741935483871,False,killed,b04a75aaabe5cc4ab1c05bac25964c519793fff16a81f6ac7af3d390ef694294,2,8,2,5,7,7,0,0.6210803985595703,0.9050369262695312,1.3461112976074219,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-007,evaluation,r1,classic-primary,71007,81007,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,400,400,0,0,9,2,6,2,0,2,400,0.005,True,step_limit,9c702a882fd1a371262d47b078cda10270a4ca39fc57bfb3312bcef36670f490,1,2,2,3,389,3,0,0.5331039428710938,0.6857395172119141,1.4801025390625,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-008,evaluation,r1,classic-primary,71008,81008,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,26,26,1,1,9,1,10,3,1,5,26,0.19230769230769232,False,killed,cda5ff69cae1b943ee389ebbb7c69aac49ced385cb80e5d5e7aa85f1472eac19,6,6,1,4,3,6,0,0.5578994750976562,1.0501742362976074,1.6083717346191406,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-009,evaluation,r1,classic-primary,71009,81009,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,21,21,0,0,9,0,8,3,1,2,21,0.09523809523809523,False,killed,605287b3e49e72279e063a6fc4cb301779492f7b3ee99a3a2eb28ca89a74c337,1,6,1,2,6,5,0,0.5784034729003906,1.140594482421875,1.422882080078125,,,,,,,,,
issue103-dqn-task2-reward-control,eval-r1-classic-primary-seed-010,evaluation,r1,classic-primary,71010,81010,1,1,_run_plan_e9d126660c_82f3e9c695,evaluation,400,400,0,0,9,0,5,2,0,2,400,0.005,True,step_limit,3a59c4cf57dcb492a7861e32da99e41efe138a52819739595c1f1561a0c03c16,1,195,1,194,5,4,0,0.5900859832763672,0.7971167564392089,1.2798309326171875,,,,,,,,,
