plan_id,run_id,kind,replica,stage_or_suite,world_seed,agent_seed,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-001,evaluation,r1,classic-primary,71001,81001,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,28,28,0,0,9,0,15,4,1,6,28,0.21428571428571427,False,killed,083c9550ed4f620533008530d695854290475b2c5b7a09c1da1ebc05925a4bf1,5,5,5,5,4,4,0,0.6209611892700195,1.1232733726501458,2.077817916870117,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-002,evaluation,r1,classic-primary,71002,81002,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,13,13,0,0,9,0,3,2,1,3,13,0.23076923076923078,False,killed,69060ad0c73655c39cf06620481a1080d206f7d6944ba9bba69073268b0cb72d,0,1,3,4,3,2,0,0.6515979766845703,0.9677886962890617,1.2979507446289062,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-003,evaluation,r1,classic-primary,71003,81003,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,2,14,0.14285714285714285,False,killed,1ec0b24173e31c8f219c696995c8f22d8e56d3d7a30069f6b73368947328c5bd,1,3,4,1,3,2,0,0.5837678909301758,0.9870529174804685,1.4178752899169922,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-004,evaluation,r1,classic-primary,71004,81004,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,1,400,0.0025,True,step_limit,3cb65477fcf44b8ee1dffdda24640ef6b3584143c51e61c26a01f0b3a82eeeb4,1,197,1,197,2,2,0,0.6297826766967773,0.8988499641418455,1.4078617095947266,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-005,evaluation,r1,classic-primary,71005,81005,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,400,400,0,0,9,0,3,1,0,1,400,0.0025,True,step_limit,9750b98f24d8c4b9f440008ebe9f416042e3c292195daef54c9cdad1672dee78,2,197,2,197,0,2,0,0.6017684936523438,0.8736610412597655,1.3110637664794922,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-006,evaluation,r1,classic-primary,71006,81006,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,30,30,1,1,9,2,9,4,1,7,30,0.23333333333333334,False,killed,3016919b2e0f00626a84146e59b6e477e4a8f5ac5629644e33d2900f6fa7089f,5,9,3,6,2,5,0,0.6010532379150391,1.1062622070312491,1.2862682342529297,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-007,evaluation,r1,classic-primary,71007,81007,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,23,23,2,2,9,2,8,3,1,3,23,0.13043478260869565,False,killed,93ec614aec14037d0011609f1040f0a262eb08115dbe1ec48bff9c53f082e34b,5,2,4,3,5,4,0,0.60272216796875,1.001667976379394,1.2938976287841797,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-008,evaluation,r1,classic-primary,71008,81008,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,23,23,1,1,9,1,6,3,1,4,23,0.17391304347826086,False,killed,20cb94e9b062b948503bf5b5f8d826ad182256e9931fdb08fa8ed399584c56d7,5,3,4,3,4,4,0,0.6105899810791016,0.8558034896850585,1.2102127075195312,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-009,evaluation,r1,classic-primary,71009,81009,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,21,21,0,0,9,0,8,3,1,3,21,0.14285714285714285,False,killed,e24cce4d9add0b8525167cd41b53d2fab242c76e7aa9f4cbba2dd881c667a7ce,2,5,2,5,4,3,0,0.6017684936523438,1.1148452758789062,1.196146011352539,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-primary-seed-010,evaluation,r1,classic-primary,71010,81010,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,400,400,0,0,9,1,9,3,0,383,400,0.9575,True,step_limit,f99eda1b3582ff4afe53833b99c122d2890c900992268d5a841be9c6f6622969,5,382,3,4,2,4,0,0.5964040756225586,0.7662773132324214,1.308441162109375,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-repeat-seed-001,evaluation,r1,classic-repeat,71001,81001,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,28,28,0,0,9,0,15,4,1,6,28,0.21428571428571427,False,killed,083c9550ed4f620533008530d695854290475b2c5b7a09c1da1ebc05925a4bf1,5,5,5,5,4,4,0,0.579833984375,0.7508397102355956,1.276254653930664,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-repeat-seed-002,evaluation,r1,classic-repeat,71002,81002,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,13,13,0,0,9,0,3,2,1,3,13,0.23076923076923078,False,killed,69060ad0c73655c39cf06620481a1080d206f7d6944ba9bba69073268b0cb72d,0,1,3,4,3,2,0,0.5395412445068359,0.8880138397216788,1.2698173522949219,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-repeat-seed-003,evaluation,r1,classic-repeat,71003,81003,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,2,14,0.14285714285714285,False,killed,1ec0b24173e31c8f219c696995c8f22d8e56d3d7a30069f6b73368947328c5bd,1,3,4,1,3,2,0,0.5680322647094727,1.0335803031921384,1.4255046844482422,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-repeat-seed-004,evaluation,r1,classic-repeat,71004,81004,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,1,400,0.0025,True,step_limit,3cb65477fcf44b8ee1dffdda24640ef6b3584143c51e61c26a01f0b3a82eeeb4,1,197,1,197,2,2,0,0.6036758422851562,0.8360147476196288,2.476930618286133,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-repeat-seed-005,evaluation,r1,classic-repeat,71005,81005,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,400,400,0,0,9,0,3,1,0,1,400,0.0025,True,step_limit,9750b98f24d8c4b9f440008ebe9f416042e3c292195daef54c9cdad1672dee78,2,197,2,197,0,2,0,0.6389617919921875,0.8719444274902339,1.3494491577148438,,,,,,,,,
issue103-dqn-task2-reward-survival-rebalance,eval-r1-classic-repeat-seed-006,evaluation,r1,classic-repeat,71006,81006,1,1,_run_plan_147b03874d_82f3e9c695,evaluation,30,30,1,1,9,2,9,4,1,7,30,0.23333333333333334,False,killed,3016919b2e0f00626a84146e59b6e477e4a8f5ac5629644e33d2900f6fa7089f,5,9,3,6,2,5,0,0.5842447280883789,0.8296012878417969,1.1725425720214844,,,,,,,,,
